TrialName,Status,n-embed,n-heads,n-layer,n-hidden,alpha,iter,TotalTime-s,Loss
1549b-00000,TERMINATED,32,8,6,256,0.0044214,9,46.3146,1.07014
1549b-00001,TERMINATED,32,4,6,256,0.00647674,1,3.32878,1.42811
1549b-00002,TERMINATED,512,8,6,128,0.00666177,1,5.95967,15.1792
1549b-00003,TERMINATED,32,2,4,100,0.00010241,2,3.1076,1.14324
1549b-00004,TERMINATED,512,8,4,100,0.00027462,1,4.29528,2.91001
1549b-00005,TERMINATED,256,8,2,256,0.00735478,1,2.80573,3.94866
1549b-00006,TERMINATED,32,2,6,100,0.000200087,9,17.4304,1.02324
1549b-00007,TERMINATED,64,4,2,256,0.000873886,9,12.1586,0.666318
1549b-00008,TERMINATED,64,8,2,100,0.00166791,9,18.6096,0.380704
1549b-00009,TERMINATED,32,4,2,100,0.00389356,9,11.9173,0.304259
1549b-00010,TERMINATED,128,8,2,128,0.00633272,1,3.21486,2.10195
1549b-00011,TERMINATED,512,4,2,256,0.00776428,1,2.23267,10.2741
1549b-00012,TERMINATED,256,2,6,256,0.00537081,1,2.41574,3.66565
1549b-00013,TERMINATED,256,2,4,100,0.0069039,1,2.25208,5.77471
1549b-00014,TERMINATED,128,4,2,128,0.00156661,1,2.23992,1.89918
1549b-00015,TERMINATED,128,2,6,100,0.00112943,2,4.53944,1.2483
1549b-00016,TERMINATED,32,4,4,256,0.00234815,2,4.77115,1.12428
1549b-00017,TERMINATED,512,2,6,128,0.000168096,1,3.27493,2.44657
1549b-00018,TERMINATED,256,4,4,100,0.0017064,1,2.88312,2.4402
1549b-00019,TERMINATED,512,8,2,100,0.000250235,1,3.17521,2.36055
